1604,1352
598,1527
813,2001
670,2353
670,2530
1819,2869
391,3466
239,2353
741,2441
610,3466
1746,536
1100,2617
244,22
998,167
1447,526
1748,610
1964,1264
1818,3095
1214,2962
312,682
598,1175
1740,3394
1811,94
536,239
310,2354
1812,3466
1962,390
741,1527
1811,3610
1371,239
2034,1527
2034,2090
998,3177
94,3242
758,3538
1531,1175
454,2868
1214,3467
998,310
813,2617
813,2788
1172,1527
1818,2442
1675,2946
317,3610
1460,1703
998,2890
383,682
1675,682
1594,3466
998,741
998,382
382,463
382,1175
1604,2619
383,536
1746,1000
886,2264
886,2790
1818,3023
537,3322
463,167
454,1702
454,2003
167,536
813,2266
390,94
1819,463
598,610
1604,682
1604,2090
957,2353
1028,2617
310,2946
239,3242
1294,3322
172,94
1891,999
172,3683
24,26
1101,1791
382,2178
1371,454
1245,916
1388,1790
998,3467
1818,2529
1818,3387
998,239
310,610
1172,1175
1746,2178
1388,2353
757,383
1675,1352
1746,2617
239,1527
536,94
1371,598
1371,310
1604,2790
382,3242
814,1353
1531,1438
1245,1791
1964,2090
2035,3242
1214,167
167,464
2034,999
1028,1438
1818,3169
390,3394
317,239
670,1438
526,2706
1460,1791
2034,1175
743,1264
1294,312
1818,1352
94,2353
382,2617
1531,608
454,681
1964,1175
1964,1527
813,2353
1602,610
813,1262
310,1352
597,835
310,2442
1746,2001
1447,3538
526,682
1028,2442
239,2706
239,3389
741,1175
998,3250
167,2530
1604,1616
1891,1703
1460,999
1676,1615
957,1790
310,1914
382,1527
743,2706
1594,3537
1740,22
2035,172
2035,610
1245,1087
598,1264
1315,1352
1294,741
682,94
1373,382
96,757
886,1175
670,1702
1388,1702
741,2090
1818,2266
1818,2788
1172,1352
1172,2178
1460,2946
2035,99
167,1438
167,3168
1604,1086
1891,2354
1604,2264
1371,94
682,312
1676,2178
1371,3034
758,3466
382,610
1891,681
597,3095
240,999
1818,2354
454,3240
598,2353
1604,2442
682,3179
610,382
1962,757
1460,836
239,1438
1746,1527
1818,682
1373,3107
239,2869
1675,3240
1172,1791
957,2441
536,3538
1676,463
1889,2178
1818,608
1676,1527
1746,2264
1746,2790
599,2948
1812,3683
1172,2619
1531,2948
1891,915
1531,1264
2035,2946
608,3394
310,464
1317,836
1315,1438
597,2001
1748,2442
1667,22
1675,610
167,1264
886,1527
167,1914
454,2090
312,2869
1532,682
167,2946
1460,1527
598,1615
239,610
1460,2442
383,1352
167,916
167,1791
1030,1791
743,836
1746,3240
681,3683
1818,318
1891,1086
2034,1438
1891,1616
597,1914
1604,2003
1447,3322
240,835
1030,2530
1172,2530
312,2617
681,3107
681,3322
464,3394
670,1000
741,2353
1532,2617
526,1352
391,23
24,3314
454,3023
1214,454
312,1790
1746,1790
383,2003
958,2617
1818,2948
454,1086
94,3606
1028,1264
886,2530
1294,237
1317,1000
1388,1000
239,1264
682,3394
167,3022
239,463
1460,2869
957,1264
668,1527
1293,3538
