1679,536
1679,757
1751,1261
744,2701
918,309
2110,1525
743,2790
1535,2175
1535,2526
456,2878
456,3340
611,310
1751,757
96,3340
1320,3042
1597,3854
97,998
1462,2000
528,2703
1216,3350
1824,1172
1965,1700
1749,3340
684,3708
312,1437
816,1875
1895,2262
1464,757
1462,1086
1679,1349
1751,1612
384,1877
167,2701
960,2701
1376,3277
456,2701
1031,2701
1679,3340
2038,1349
456,3412
169,2087
1670,3638
1966,3704
1751,536
1895,1262
758,94
169,1614
2038,3040
1464,1612
960,1172
744,1876
240,1877
240,2701
1966,2701
528,2790
685,3636
1376,239
760,22
240,3194
918,3781
1606,2960
96,757
1606,1612
1670,167
1248,1877
2038,3632
1522,3781
1597,167
318,239
537,382
240,2351
758,3781
312,2263
1175,2701
598,3118
1104,1788
96,3631
538,3638
169,316
960,1998
96,317
1376,3494
96,2878
538,3782
312,2703
1450,310
1749,1700
384,3196
598,1700
312,1877
466,94
466,239
1376,596
838,741
1104,2087
1966,2262
1217,3061
600,2087
1247,2614
383,2878
918,3494
1133,526
744,998
456,2526
1297,310
312,2526
1031,1349
1894,2526
169,3042
1522,3494
1894,3118
464,382
1749,1086
1749,2526
466,167
743,1172
456,1614
312,317
1534,3118
169,1998
760,3636
1895,681
610,526
816,2438
312,3267
1451,3781
1606,3194
97,2701
1751,2351
97,2526
1135,3207
836,3854
598,1612
312,2351
1135,3566
598,2526
1450,3278
836,3492
312,1700
383,3118
836,239
1175,2614
2109,3412
97,1172
96,3196
1522,3422
97,97
312,1614
836,3135
2109,26
528,2262
1749,3412
760,3708
1297,3708
97,463
1535,2351
685,237
2038,390
1135,886
671,1086
2110,3776
1217,813
169,915
816,2790
1320,2790
1679,2878
1376,524
1031,1172
1450,94
1815,167
1102,1262
1102,1614
1895,1084
240,1614
682,3350
391,23
1102,1998
1217,3638
1462,681
836,94
456,2085
1894,1700
836,3280
1524,239
1320,915
528,3042
611,3638
1894,757
1535,914
1751,461
1824,1700
1824,1875
1824,2526
1217,3708
598,2878
97,3412
537,3494
1450,3494
2110,1875
816,2262
1462,2087
1102,2262
1175,2263
528,2614
2110,316
600,3194
1376,94
887,1349
887,2878
1247,998
1824,536
1894,2878
1894,3340
1524,3638
456,3118
1966,680
1390,757
1966,914
1824,998
2109,1612
1464,915
599,757
384,2351
598,1349
1320,1875
312,1086
312,1525
1104,2614
1297,94
1297,382
1678,463
685,526
918,814
918,3205
611,382
2110,608
1462,2175
312,3340
1376,453
960,2263
611,3709
671,3118
1296,526
1895,998
673,1700
1606,2085
1297,3492
240,3414
1749,2701
610,3421
611,167
1749,2175
2039,3776
384,1262
1320,1614
758,3422
318,3638
610,453
1175,1086
1597,3492
96,172
312,536
456,1998
1524,526
456,757
528,2351
1390,2790
1749,608
312,1348
1524,3708
1247,1614
1297,740
1102,2351
312,1998
1320,1998
318,23
1376,23
1031,1998
312,2878
1391,1700
1174,1172
1966,2085
1816,94
240,914
816,914
887,2351
312,3042
673,1875
1390,2526
673,1172
1247,2085
1894,2351
1965,2878
23,3849
1670,3708
1534,681
1320,2703
1966,170
1133,597
836,524
1606,1172
816,1612
2110,2960
96,3776
391,3781
318,167
743,2086
1175,2437
464,22
239,681
538,3566
393,3854
1390,1788
312,1172
1462,1437
384,2262
383,2438
1534,2878
1606,1998
1966,2790
